,gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
87820,43911,200011040DAL,NBA,1,2001,11/4/2000,3,0,UTA,Jazz,112,1574.092,1584.1554,49.635914,DAL,Mavericks,106,1551.9282,1541.8649,A,W,0.38982189,
87821,43911,200011040DAL,NBA,0,2001,11/4/2000,3,0,DAL,Mavericks,106,1551.9282,1541.8649,45.315014,UTA,Jazz,112,1574.092,1584.1554,H,L,0.61017811,
87822,43912,200011040DEN,NBA,0,2001,11/4/2000,3,0,DEN,Nuggets,99,1435.4452,1431.1295,33.791103,PHO,Suns,102,1601.3241,1605.6398,H,L,0.40631276,
87823,43912,200011040DEN,NBA,1,2001,11/4/2000,3,0,PHO,Suns,102,1601.3241,1605.6398,51.762778999999995,DEN,Nuggets,99,1435.4452,1431.1295,A,W,0.59368724,
87824,43913,200011040GSW,NBA,1,2001,11/4/2000,3,0,SAS,Spurs,117,1610.1372,1616.0538,52.772591000000006,GSW,Warriors,105,1351.6097,1345.6931,A,W,0.71352321,
87825,43913,200011040GSW,NBA,0,2001,11/4/2000,3,0,GSW,Warriors,105,1351.6097,1345.6931,25.553627,SAS,Spurs,117,1610.1372,1616.0538,H,L,0.28647679,
87826,43914,200011040IND,NBA,1,2001,11/4/2000,3,0,CHI,Bulls,81,1306.9907,1305.2275,22.060157999999998,IND,Pacers,94,1599.4818,1601.245,A,L,0.094545126,
87827,43914,200011040IND,NBA,0,2001,11/4/2000,3,0,IND,Pacers,94,1599.4818,1601.245,51.332302,CHI,Bulls,81,1306.9907,1305.2275,H,W,0.90545487,
87828,43915,200011040LAC,NBA,0,2001,11/4/2000,3,0,LAC,Clippers,77,1266.0042,1274.473,19.616426,HOU,Rockets,74,1495.9146,1487.4457,H,W,0.32129553,
87829,43915,200011040LAC,NBA,1,2001,11/4/2000,3,0,HOU,Rockets,74,1495.9146,1487.4457,39.623238,LAC,Clippers,77,1266.0042,1274.473,A,L,0.6787045,
87830,43916,200011040MIA,NBA,0,2001,11/4/2000,3,0,MIA,Heat,82,1579.8837,1573.6309,48.575157,PHI,Sixers,84,1603.8619,1610.1147,H,L,0.60769087,
87831,43916,200011040MIA,NBA,1,2001,11/4/2000,4,0,PHI,Sixers,84,1603.8619,1610.1147,52.198509,MIA,Heat,82,1579.8837,1573.6309,A,W,0.39230913,
87832,43917,200011040MIL,NBA,1,2001,11/4/2000,4,0,DET,Pistons,88,1506.2704,1499.7502,40.913414,MIL,Bucks,97,1505.1526,1511.6727,A,L,0.36141872,
87833,43917,200011040MIL,NBA,0,2001,11/4/2000,3,0,MIL,Bucks,97,1505.1526,1511.6727,42.163719,DET,Pistons,88,1506.2704,1499.7502,H,W,0.63858128,
87834,43918,200011040MIN,NBA,0,2001,11/4/2000,3,0,MIN,Timberwolves,99,1555.1967,1561.1567,47.304283,SAC,Kings,91,1551.7568,1545.7968,H,W,0.64461404,
87835,43918,200011040MIN,NBA,1,2001,11/4/2000,4,0,SAC,Kings,91,1551.7568,1545.7968,45.722439,MIN,Timberwolves,99,1555.1967,1561.1567,A,L,0.35538596,
87836,43919,200011040NJN,NBA,1,2001,11/4/2000,4,0,CHH,Pelicans,98,1545.7626,1556.79,46.856312,NJN,Nets,87,1446.1587,1435.1312,A,W,0.49942994,
87837,43919,200011040NJN,NBA,0,2001,11/4/2000,3,0,NJN,Nets,87,1446.1587,1435.1312,34.198608,CHH,Pelicans,98,1545.7626,1556.79,H,L,0.50057006,
87838,43920,200011040SEA,NBA,0,2001,11/4/2000,3,0,SEA,Thunder,90,1506.8219,1498.6267,40.795563,POR,Trailblazers,97,1613.8929,1622.0881,H,L,0.48982537,
87839,43920,200011040SEA,NBA,1,2001,11/4/2000,3,0,POR,Trailblazers,97,1613.8929,1622.0881,53.350765,SEA,Thunder,90,1506.8219,1498.6267,A,W,0.51017463,
87840,43921,200011040TOR,NBA,0,2001,11/4/2000,4,0,TOR,Raptors,103,1469.4275,1474.6638,38.285934000000005,WAS,Wizards,96,1454.1398,1448.9034,H,W,0.66007972,
