Kommun_code,Year,Kommun_name,Revenue,Employee,Population,Population_University,Percent_University,Productivity,SalesIndex,Infrast,Border
680,2010,J�nk�ping,5298,2556,127382,16750,0.13149425,103.87831,545.899307,0,0
682,2010,N�ssj�,669,390,29339,2123,0.07236102,85.96769,68.932925,0,0
683,2010,V�rnamo,902,438,32833,2717,0.08275211,103.2063,92.940954,0,0
684,2010,S�vsj�,112,75,10830,715,0.06602031,74.83944,11.54034,0,0
685,2010,Vetlanda,659,360,26304,1842,0.07002737,91.73957,67.902537,0,0
686,2010,Eksj�,218,124,16244,1795,0.11050234,88.10663,22.462448,0,0
687,2010,Tran�s,397,248,18119,1410,0.07781886,80.22553,40.906384,0,0
760,2010,Uppvidinge,55,41,9244,547,0.05917352,67.22837,5.667131,0,0
761,2010,Lessebo,217,160,8139,554,0.06806733,67.96941,22.359409,0,0
763,2010,Tingsryd,210,164,12231,834,0.06818739,64.17254,21.638138,0,0
764,2010,Alvesta,182,126,18802,1432,0.07616211,72.38934,18.753053,0,0
765,2010,�lmhult,847,853,15603,1511,0.09684035,49.76318,87.273823,0,0
767,2010,Markaryd,144,89,9619,514,0.05343591,81.08607,14.83758,0,0
780,2010,V�xj�,3268,1315,83005,12266,0.14777423,124.54608,336.730641,0,0
781,2010,Ljungby,516,257,27297,2201,0.08063157,100.6214,53.167996,0,0
821,2010,H�gsby,90,25,5777,365,0.06318158,180.4165,9.273488,0,0
834,2010,Tors�s,96,64,6962,517,0.07426027,75.17354,9.89172,0,0
840,2010,M�rbyl�nga,240,142,14021,1645,0.11732401,84.70258,24.7293,0,0
860,2010,Hultsfred,151,97,13696,788,0.05753505,78.01516,15.558852,0,0
861,2010,M�nster�s,104,54,12909,943,0.07304981,96.51912,10.71603,0,0
862,2010,Emmaboda,93,63,9187,634,0.06901056,73.98031,9.582604,0,0
881,2010,Nybro,333,187,19651,1431,0.07282072,89.24346,34.311904,0,0
882,2010,Oskarshamn,482,254,26163,2186,0.08355311,95.10144,49.664678,0,0
883,2010,V�stervik,804,408,36206,3265,0.09017842,98.7574,82.843156,0,0
884,2010,Vimmerby,531,269,15473,1029,0.06650294,98.92727,54.713577,0,0
885,2010,Borgholm,203,94,10676,1038,0.09722743,108.22858,20.916867,0,0
980,2010,Gotland,1542,767,57269,6203,0.1083134,100.75411,158.885755,1,0
1060,2010,Olofstr�m,172,83,12988,733,0.05643671,103.85421,17.722665,0,0
1080,2010,Karlskrona,2037,785,64032,9004,0.14061719,130.04544,209.889937,0,0
1081,2010,Ronneby,646,262,28254,2813,0.09956112,123.56771,66.563034,1,0
1082,2010,Karlshamn,762,420,31143,3093,0.09931606,90.92419,78.515529,1,0
1083,2010,S�lvesborg,254,129,16810,1434,0.08530637,98.67742,26.171843,0,0
